Image,Attractiveness label
AF1899.jpg,2.916667
AF1179.jpg,3.933333
AF64.jpg,2.3
AF734.jpg,2.95
AF280.jpg,2.583333
AF1705.jpg,3.133333
AF915.jpg,3.166667
AF1934.jpg,2.45
AF1142.jpg,2.666667
AF1883.jpg,3.133333
AF1649.jpg,3.283333
AF505.jpg,2.683333
AF791.jpg,2.683333
AF1544.jpg,3.033333
AF1217.jpg,3.216667
AF538.jpg,3.133333
AF1549.jpg,2.85
AF1889.jpg,3.833333
AF1960.jpg,2.383333
AF176.jpg,2.116667
AF200.jpg,2.333333
AF811.jpg,2.416667
AF736.jpg,2.15
AF1013.jpg,3.816667
AF949.jpg,2.783333
AF49.jpg,2.133333
AF883.jpg,3.166667
AF1815.jpg,3.05
AF1163.jpg,3.133333
AF472.jpg,3.016667
AF796.jpg,2.566667
AF1895.jpg,3.8
AF1106.jpg,3.516667
AF1710.jpg,3.716667
AF469.jpg,2.883333
AF197.jpg,1.95
AF40.jpg,2.583333
AF24.jpg,2.433333
AF430.jpg,2.816667
AF1708.jpg,2.75
AF581.jpg,2.866667
AF1881.jpg,3.633333
AF1798.jpg,3.466667
AF1547.jpg,4
AF1438.jpg,3.166667
AF285.jpg,2.916667
AF1170.jpg,4.283333
AF1975.jpg,2.116667
AF194.jpg,2.783333
AF1087.jpg,2.766667
AF516.jpg,2.766667
AF1838.jpg,3.516667
AF1861.jpg,3.883333
AF1047.jpg,3.65
AF1962.jpg,3.616667
AF584.jpg,2.566667
AF7.jpg,2.566667
AF98.jpg,2
AF1799.jpg,3.85
AF1205.jpg,4.133333
AF544.jpg,2.216667
AF750.jpg,3.5
AF71.jpg,2.7
AF1730.jpg,4.066667
AF530.jpg,2.833333
AF1123.jpg,2.516667
AF1251.jpg,3.683333
AF1725.jpg,3.366667
AF504.jpg,2.283333
AF61.jpg,2.366667
AF1122.jpg,3.6
AF1441.jpg,2.95
AF1450.jpg,2.766667
AF742.jpg,2.616667
AF94.jpg,2.866667
AF1626.jpg,3.066667
AF1341.jpg,2.233333
AF1683.jpg,4.333333
AF315.jpg,3.2
AF1863.jpg,3.5
AF783.jpg,4.316667
AF908.jpg,3.066667
AF994.jpg,3.666667
AF1959.jpg,1.033333
AF1482.jpg,3.316667
AF1283.jpg,4.333333
AF1611.jpg,3.333333
AF174.jpg,2.083333
AF44.jpg,2.783333
AF1761.jpg,3.883333
AF1463.jpg,2.933333
AF1029.jpg,3.95
AF495.jpg,2.533333
AF1875.jpg,2.233333
AF1243.jpg,2.2
AF105.jpg,4.033333
AF689.jpg,2.533333
AF1698.jpg,3.25
AF462.jpg,2.65
AF106.jpg,3.033333
AF1672.jpg,3.2
AF342.jpg,2.683333
AF1371.jpg,3.633333
AF707.jpg,2.066667
AF1039.jpg,4.2
AF971.jpg,4.1
AF415.jpg,2.55
AF1853.jpg,1.883333
AF134.jpg,2.316667
AF1597.jpg,3.75
AF1722.jpg,3.4
AF1115.jpg,4.016667
AF1246.jpg,3.066667
AF1109.jpg,3.883333
AF1103.jpg,3.05
AF1395.jpg,3.816667
AF16.jpg,2.1
AF1769.jpg,3.833333
AF876.jpg,2.75
AF426.jpg,2.366667
AF1541.jpg,3.55
AF38.jpg,2.316667
AF244.jpg,4.216667
AF824.jpg,2.283333
AF773.jpg,2.516667
AF828.jpg,2.283333
AF1942.jpg,2.466667
AF1185.jpg,2.616667
AF933.jpg,3.983333
AF359.jpg,2.083333
AF1252.jpg,3.383333
AF13.jpg,3.35
AF1220.jpg,2.833333
AF781.jpg,2.516667
AF425.jpg,2.466667
AF60.jpg,2.716667
AF1204.jpg,2.8
AF1080.jpg,3.916667
AF1999.jpg,2.733333
AF1433.jpg,3.216667
AF1943.jpg,3.666667
AF1938.jpg,2.216667
AF709.jpg,2.816667
AF866.jpg,2.383333
AF6.jpg,1.566667
AF1941.jpg,3.133333
AF446.jpg,3.05
AF1488.jpg,3.85
AF1774.jpg,3.016667
AF149.jpg,2.35
AF676.jpg,2.6
AF1131.jpg,3.066667
AF1675.jpg,4.5
AF670.jpg,3.05
AF22.jpg,2.416667
AF1677.jpg,3.25
AF931.jpg,2.666667
AF1829.jpg,2.85
AF11.jpg,2.316667
AF1978.jpg,3.916667
AF1384.jpg,3.966667
AF1946.jpg,1.7
AF542.jpg,3.116667
AF570.jpg,2.383333
AF1692.jpg,4.25
AF211.jpg,2.433333
AF1527.jpg,3.833333
AF719.jpg,2.233333
AF815.jpg,1.316667
AF1517.jpg,3.433333
AF3.jpg,3.183333
AF158.jpg,2.516667
AF1897.jpg,3.95
AF434.jpg,3
AF1329.jpg,3.416667
AF108.jpg,2.783333
AF1642.jpg,2.8
AF1738.jpg,2.816667
AF921.jpg,4.1
AF840.jpg,3.733333
AF1223.jpg,2.133333
AF874.jpg,2.766667
AF769.jpg,2.583333
AF1464.jpg,3.433333
AF1000.jpg,3.966667
AF480.jpg,3.116667
AF973.jpg,3
AF1627.jpg,3.766667
AF1317.jpg,4.033333
AF241.jpg,1.983333
AF1297.jpg,3.383333
AF1099.jpg,4.183333
AF1824.jpg,1.983333
AF1751.jpg,3.65
AF1607.jpg,3.433333
AF221.jpg,2.433333
AF409.jpg,4.183333
AF1213.jpg,3.433333
AF567.jpg,3.5
AF831.jpg,2.383333
AF1839.jpg,4.266667
AF1648.jpg,3.2
AF215.jpg,2.533333
AF1346.jpg,3.616667
AF240.jpg,3.066667
AF1343.jpg,3.616667
AF1650.jpg,3.2
AF786.jpg,2.85
AF78.jpg,2.65
AF489.jpg,2.3
AF310.jpg,2.483333
AF1570.jpg,2.5
AF1149.jpg,3.5
AF728.jpg,1.616667
AF1785.jpg,3.516667
AF1034.jpg,3.05
AF1011.jpg,3.1
AF251.jpg,2.7
AF1981.jpg,3.766667
AF403.jpg,2.633333
AF156.jpg,2.483333
AF1936.jpg,3.483333
AF522.jpg,2.3
AF136.jpg,2.316667
AF1215.jpg,3.183333
AF1921.jpg,2.466667
AF1421.jpg,3.166667
AF1694.jpg,3.65
AF787.jpg,2.366667
AF181.jpg,2.9
AF1114.jpg,2.966667
AF643.jpg,2.2
AF1117.jpg,1.966667
AF1538.jpg,4.033333
AF457.jpg,2.583333
AF1928.jpg,2.966667
